Date,Symbol,Close,Volume
2024-07-23,VMC,260.15,408500.0
2024-07-24,VMC,250.51,1116300.0
2024-07-25,VMC,253.77,825200.0
2024-07-26,VMC,261.71,673500.0
2024-07-29,VMC,264.53,586800.0
2024-07-30,VMC,270.0,1205100.0
2024-07-31,VMC,274.51,1458900.0
2024-08-01,VMC,271.13,1316700.0
2024-08-02,VMC,266.34,986600.0
2024-08-05,VMC,257.43,1355100.0
2024-08-06,VMC,246.14,2295000.0
2024-08-07,VMC,241.22,1376800.0
2024-08-08,VMC,246.33,1196300.0
2024-08-09,VMC,244.34,888000.0
2024-08-12,VMC,241.9,869300.0
2024-08-13,VMC,243.84,706000.0
2024-08-14,VMC,242.5,876700.0
2024-08-15,VMC,246.57,1028900.0
2024-08-16,VMC,244.43,490900.0
2024-01-02,VRSK,237.98,743700.0
2024-01-03,VRSK,236.7,679500.0
2024-01-04,VRSK,237.95,707800.0
2024-01-05,VRSK,233.7,832800.0
2024-01-08,VRSK,232.71,1139900.0
2024-01-09,VRSK,234.72,648700.0
2024-01-10,VRSK,233.96,730600.0
2024-01-11,VRSK,234.21,997900.0
2024-01-12,VRSK,236.77,619100.0
2024-01-16,VRSK,237.03,1368200.0
2024-01-17,VRSK,236.67,681700.0
2024-01-18,VRSK,237.55,667300.0
2024-01-19,VRSK,240.12,803200.0
2024-01-22,VRSK,243.46,639400.0
2024-01-23,VRSK,243.84,673100.0
2024-01-24,VRSK,244.65,546200.0
2024-01-25,VRSK,243.48,508100.0
2024-01-26,VRSK,244.15,713700.0
2024-01-29,VRSK,244.57,644700.0
2024-01-30,VRSK,246.09,751900.0
2024-01-31,VRSK,241.53,1187300.0
2024-02-01,VRSK,246.62,935200.0
2024-02-02,VRSK,247.78,549500.0
2024-02-05,VRSK,246.6,557700.0
2024-02-06,VRSK,248.47,518300.0
2024-02-07,VRSK,250.66,803400.0
2024-02-08,VRSK,249.26,640900.0
2024-02-09,VRSK,250.61,722400.0
2024-02-12,VRSK,247.13,575100.0
2024-02-13,VRSK,244.93,738000.0
2024-02-14,VRSK,246.14,988500.0
2024-02-15,VRSK,246.65,666800.0
2024-02-16,VRSK,244.7,1399200.0
2024-02-20,VRSK,248.51,1231700.0
2024-02-21,VRSK,237.67,1876600.0
2024-02-22,VRSK,240.01,1009200.0
2024-02-23,VRSK,244.83,688100.0
2024-02-26,VRSK,243.11,679200.0
2024-02-27,VRSK,242.92,532500.0
2024-02-28,VRSK,242.0,658400.0
2024-02-29,VRSK,241.9,1238100.0
2024-03-01,VRSK,241.65,738600.0
2024-03-04,VRSK,239.93,715600.0
2024-03-05,VRSK,237.74,906000.0
2024-03-06,VRSK,235.57,984200.0
2024-03-07,VRSK,236.14,1300800.0
2024-03-08,VRSK,236.53,765900.0
2024-03-11,VRSK,237.48,727200.0
2024-03-12,VRSK,238.08,610200.0
2024-03-13,VRSK,236.26,778300.0
2024-03-14,VRSK,232.85,992600.0
2024-03-15,VRSK,234.52,1611200.0
2024-03-18,VRSK,235.73,1011300.0
2024-03-19,VRSK,237.44,741800.0
2024-03-20,VRSK,236.4,719100.0
2024-03-21,VRSK,235.91,1261000.0
2024-03-22,VRSK,234.86,1020500.0
2024-03-25,VRSK,232.0,1063400.0
2024-03-26,VRSK,231.21,1179900.0
2024-03-27,VRSK,233.93,1533800.0
2024-03-28,VRSK,235.73,1218600.0
2024-04-01,VRSK,232.78,847200.0
2024-04-02,VRSK,231.99,847000.0
2024-04-03,VRSK,231.01,559300.0
2024-04-04,VRSK,226.52,891200.0
2024-04-05,VRSK,227.65,579900.0
2024-04-08,VRSK,226.38,1035500.0
2024-04-09,VRSK,229.36,690100.0
2024-04-10,VRSK,225.92,608100.0
2024-04-11,VRSK,223.36,1382800.0
2024-04-12,VRSK,222.53,1039700.0
2024-04-15,VRSK,222.18,1070500.0
2024-04-16,VRSK,222.1,1462500.0
2024-04-17,VRSK,222.25,841400.0
2024-04-18,VRSK,223.33,676800.0
2024-04-19,VRSK,222.52,714300.0
2024-04-22,VRSK,223.17,733100.0
2024-04-23,VRSK,222.25,1068500.0
2024-04-24,VRSK,222.25,1008800.0
2024-04-25,VRSK,222.79,1052600.0
2024-04-26,VRSK,221.14,815700.0
2024-04-29,VRSK,221.85,911700.0
2024-04-30,VRSK,217.96,1455600.0
2024-05-01,VRSK,232.81,1824400.0
2024-05-02,VRSK,233.76,1544700.0
2024-05-03,VRSK,237.33,1127600.0
2024-05-06,VRSK,241.86,892900.0
2024-05-07,VRSK,247.0,1094500.0
2024-05-08,VRSK,244.57,780300.0
2024-05-09,VRSK,244.98,523000.0
2024-05-10,VRSK,248.31,697900.0
2024-05-13,VRSK,246.34,399200.0
2024-05-14,VRSK,246.93,499600.0
2024-05-15,VRSK,247.84,477700.0
2024-05-16,VRSK,251.48,605700.0
2024-05-17,VRSK,251.62,778900.0
2024-05-20,VRSK,252.41,580300.0
2024-05-21,VRSK,251.5,607300.0
2024-05-22,VRSK,253.64,707000.0
2024-05-23,VRSK,249.25,894600.0
2024-05-24,VRSK,251.58,689800.0
2024-05-28,VRSK,248.87,770400.0
2024-05-29,VRSK,246.92,636300.0
2024-05-30,VRSK,249.37,888300.0
2024-05-31,VRSK,252.78,2984800.0
2024-06-03,VRSK,253.75,639800.0
2024-06-04,VRSK,258.25,885400.0
2024-06-05,VRSK,261.28,674700.0
2024-06-06,VRSK,260.0,530200.0
2024-06-07,VRSK,264.0,898300.0
2024-06-10,VRSK,263.48,667700.0
2024-06-11,VRSK,264.67,397300.0
2024-06-12,VRSK,263.56,589400.0
2024-06-13,VRSK,262.24,496000.0
2024-06-14,VRSK,264.37,472000.0
2024-06-17,VRSK,267.69,487100.0
2024-06-18,VRSK,268.8,655700.0
2024-06-20,VRSK,268.09,648800.0
2024-06-21,VRSK,270.32,1550300.0
2024-06-24,VRSK,271.77,726300.0
2024-06-25,VRSK,272.27,794100.0
2024-06-26,VRSK,269.86,565700.0
2024-06-27,VRSK,270.85,646500.0
2024-06-28,VRSK,269.55,1101800.0
2024-07-01,VRSK,268.11,810300.0
2024-07-02,VRSK,272.36,835700.0
2024-07-03,VRSK,273.28,340200.0
2024-07-05,VRSK,274.45,592300.0
2024-07-08,VRSK,273.2,572000.0
2024-07-09,VRSK,275.38,487500.0
2024-07-10,VRSK,277.52,836900.0
2024-07-11,VRSK,275.09,826500.0
2024-07-12,VRSK,277.38,531200.0
2024-07-15,VRSK,277.5,939300.0
2024-07-16,VRSK,281.14,692800.0
2024-07-17,VRSK,279.16,859200.0
2024-07-18,VRSK,280.92,659000.0
2024-07-19,VRSK,276.83,1382900.0
2024-07-22,VRSK,278.61,467100.0
2024-07-23,VRSK,278.12,397800.0
2024-07-24,VRSK,276.55,618400.0
2024-07-25,VRSK,275.9,681400.0
2024-07-26,VRSK,279.97,869900.0
2024-07-29,VRSK,283.78,822800.0
2024-07-30,VRSK,285.99,872000.0
2024-07-31,VRSK,261.75,1410300.0
2024-08-01,VRSK,261.37,1107300.0
2024-08-02,VRSK,266.66,1233000.0
2024-08-05,VRSK,262.28,1354700.0
2024-08-06,VRSK,260.94,773700.0
2024-08-07,VRSK,260.31,782000.0
2024-08-08,VRSK,264.6,672300.0
2024-08-09,VRSK,264.12,370700.0
2024-08-12,VRSK,262.36,455000.0
2024-08-13,VRSK,265.64,545400.0
2024-08-14,VRSK,268.59,519600.0
2024-08-15,VRSK,266.14,490400.0
2024-08-16,VRSK,266.63,1285100.0
2024-01-02,VRSN,201.56,559700.0
2024-01-03,VRSN,201.21,711800.0
2024-01-04,VRSN,198.48,497900.0
2024-01-05,VRSN,196.91,475800.0
2024-01-08,VRSN,199.0,432900.0
2024-01-09,VRSN,197.57,419900.0
2024-01-10,VRSN,203.42,610400.0
2024-01-11,VRSN,203.76,446200.0
2024-01-12,VRSN,204.18,282900.0
2024-01-16,VRSN,202.44,382000.0
2024-01-17,VRSN,201.84,414900.0
2024-01-18,VRSN,203.99,350300.0
2024-01-19,VRSN,205.37,359100.0
2024-01-22,VRSN,205.26,336200.0
2024-01-23,VRSN,206.35,230400.0
2024-01-24,VRSN,203.98,314000.0
2024-01-25,VRSN,203.04,341400.0
2024-01-26,VRSN,203.11,287200.0
2024-01-29,VRSN,202.9,433800.0
2024-01-30,VRSN,201.8,1042300.0
